id,hidraulic,puming_turbine,nuclear,coal,diesel_engines,gas_turbine,vapour_turbine,combined_cycle,hidro_wind,wind,photovoltaic_solar,solar_thermal,other_renewable,co_generation,non_renewable_waste,renewable_waste,total,month,year,years,months
6,2179.8071299999997,105.705663,3684.3838050000004,473.944391,206.220592,34.119217,33.486942000000006,3653.4440019999997,3.002042,3681.564062,2323.877369,655.361716,358.010046,2186.704332,198.27345250000002,79.5038495,19857.408611000003,1900-06-01,2021-01-01,2021,6.0
7,2207.0696949999997,115.791596,5119.328941,311.7099,239.57681599999998,40.565981,66.13421000000001,3718.138167,3.5782179999999997,4281.232307,2615.983421,828.492494,352.713786,2242.860231,205.0148095,81.9157495,22430.106320999996,1900-07-01,2021-01-01,2021,7.0
8,1879.868237,159.742542,5151.243571999999,319.61567599999995,258.860341,47.885346,99.64419000000001,4047.369943,2.663478,3744.736415,2391.332097,661.4451019999999,410.589711,2106.141263,212.2020115,81.7515725,21575.091496999998,1900-08-01,2021-01-01,2021,8.0
9,1394.060876,118.23986900000001,4890.506525000001,477.37582299999997,256.964215,71.41099899999999,113.21021300000001,4943.11404,1.420108,3231.189517,1920.625107,447.444657,395.96229800000003,2162.770958,179.8171845,68.0760485,20672.188438000005,1900-09-01,2021-01-01,2021,9.0
10,1021.7169399999999,232.11322700000002,4748.394946,527.6043179999999,233.56938200000002,46.314807,112.484255,4406.803954,1.8526790000000002,4354.237464,1770.449661,328.16178,432.48035600000003,2140.492693,186.399354,68.765996,20611.841811999995,1900-10-01,2021-01-01,2021,10.0
11,1193.987087,202.786843,3562.358271,576.854677,203.061845,30.058396000000002,115.100428,6317.326884,1.1397899999999999,6412.671165,1344.646036,172.42624600000002,434.26583899999997,2170.399357,179.1553365,80.2498315,22996.488032,1900-11-01,2021-01-01,2021,11.0
12,2524.048832,269.908616,3922.855106,720.480549,215.797349,29.062753,112.90636,5153.337111,1.227861,6906.159273,1021.94063,103.956001,436.352181,2171.484314,181.2231605,82.2104835,23852.950579999997,1900-12-01,2021-01-01,2021,12.0
1,2053.818373,215.452191,5048.424951,709.963733,210.12559,34.44675,117.422501,5897.79259,1.110916,5412.719787999999,1566.545416,170.905342,429.574435,2144.255183,169.946929,79.365292,24261.869979999996,1900-01-01,2022-01-01,2022,1.0
2,1145.857477,285.086191,4771.058908,571.1160520000001,185.572522,34.329014,102.630663,4670.818611,1.482045,4710.675066,1690.317805,208.578486,374.906953,2118.650096,144.54671599999998,72.930818,21088.557423000002,1900-02-01,2022-01-01,2022,2.0
3,1764.099318,273.84815299999997,4766.791564,705.226183,207.451315,38.861672,114.385115,3873.10941,2.1263229999999997,6528.106677,1454.7234329999999,120.56831600000001,423.876319,2214.052573,183.99531299999998,82.069426,22753.291109999995,1900-03-01,2022-01-01,2022,3.0
4,1779.572602,336.710347,4413.72427,691.198723,205.10028,34.57236,103.636366,3146.582054,1.752528,5655.805565000001,2578.071562,412.77761,430.647746,1709.3212290000001,171.926116,72.848577,21744.247935,1900-04-01,2022-01-01,2022,4.0
5,1918.7729960000001,299.88005599999997,4066.3553309999998,527.356658,215.844367,42.307790000000004,86.849653,3713.3984929999997,1.917174,4687.5169479999995,3371.591929,621.247441,396.81172499999997,1870.320175,170.58549299999999,79.964072,22070.720301,1900-05-01,2022-01-01,2022,5.0
6,1190.603905,270.92393,4459.459166000001,833.22046,224.847296,47.734021999999996,60.625902,6478.723588000001,2.44956,3788.586852,3202.915304,534.185927,415.557683,1466.588792,155.903954,76.946932,23209.273273000003,,2022-01-01,2022,
7,1041.750817,216.617593,5073.154157,882.4270379999999,242.777219,79.729885,73.213599,8460.324157,3.562943,4561.656851,3345.712763,667.235576,409.228325,1053.318112,181.02051250000002,75.73252049999999,26367.462068,1900-07-01,2022-01-01,2022,7.0
